Name	Orientation	Spatial Freq.	Temporal Freq.	Value
V1'164	112.5	0.05	1	0
V1'165	112.5	0.05	2	0.68347
V1'166	112.5	0.05	4	0
V1'167	112.5	0.05	8	0
V1'168	112.5	0.1	1	0
V1'169	112.5	0.1	2	0.68347
V1'170	112.5	0.1	4	0
V1'171	112.5	0.1	8	0
V1'172	112.5	0.2	1	0
V1'173	112.5	0.2	2	0
V1'174	112.5	0.2	4	0
V1'175	112.5	0.2	8	0
V1'176	123.75	0.025	1	0
V1'177	123.75	0.025	2	0
V1'178	123.75	0.025	4	0
V1'179	123.75	0.025	8	0
V1'180	123.75	0.05	1	0
V1'181	123.75	0.05	2	0.908412
V1'182	123.75	0.05	4	0
V1'183	123.75	0.05	8	0
V1'184	123.75	0.1	1	0
V1'185	123.75	0.1	2	0.430599
V1'186	123.75	0.1	4	0
V1'187	123.75	0.1	8	0
V1'188	123.75	0.2	1	0
V1'189	123.75	0.2	2	0
V1'190	123.75	0.2	4	0
V1'191	123.75	0.2	8	0
V1'192	135	0.025	1	0
V1'193	135	0.025	2	0
V1'194	135	0.025	4	0
V1'195	135	0.025	8	0
V1'196	135	0.05	1	0
V1'197	135	0.05	2	1.00001
V1'198	135	0.05	4	0
V1'199	135	0.05	8	0
V1'200	135	0.1	1	0
V1'201	135	0.1	2	0.23126
V1'202	135	0.1	4	0
V1'203	135	0.1	8	0
V1'204	135	0.2	1	0
V1'205	135	0.2	2	0
V1'206	135	0.2	4	0
V1'207	135	0.2	8	0
V1'208	146.25	0.025	1	0
V1'209	146.25	0.025	2	0
V1'210	146.25	0.025	4	0
V1'211	146.25	0.025	8	0
V1'212	146.25	0.05	1	0
V1'213	146.25	0.05	2	0.908412
V1'214	146.25	0.05	4	0
V1'215	146.25	0.05	8	0
V1'216	146.25	0.1	1	0
V1'217	146.25	0.1	2	0.108502
V1'218	146.25	0.1	4	0
V1'219	146.25	0.1	8	0
V1'220	146.25	0.2	1	0
V1'221	146.25	0.2	2	0
V1'222	146.25	0.2	4	0
V1'223	146.25	0.2	8	0
V1'224	157.5	0.025	1	0
V1'225	157.5	0.025	2	0
V1'226	157.5	0.025	4	0
V1'227	157.5	0.025	8	0
V1'228	157.5	0.05	1	0
V1'229	157.5	0.05	2	0.68347
V1'230	157.5	0.05	4	0
V1'231	157.5	0.05	8	0
V1'232	157.5	0.1	1	0
V1'233	157.5	0.1	2	0.045956
V1'234	157.5	0.1	4	0
V1'235	157.5	0.1	8	0
V1'236	157.5	0.2	1	0
V1'237	157.5	0.2	2	0
V1'238	157.5	0.2	4	0
V1'239	157.5	0.2	8	0
V1'240	168.75	0.025	1	0
V1'241	168.75	0.025	2	0
V1'242	168.75	0.025	4	0
V1'243	168.75	0.025	8	0
V1'244	168.75	0.05	1	0
V1'245	168.75	0.05	2	0.430599
V1'246	168.75	0.05	4	0
V1'247	168.75	0.05	8	0
V1'248	168.75	0.1	1	0
V1'249	168.75	0.1	2	0.0186336
V1'250	168.75	0.1	4	0
V1'251	168.75	0.1	8	0
V1'252	168.75	0.2	1	0
V1'253	168.75	0.2	2	0
V1'254	168.75	0.2	4	0
V1'255	168.75	0.2	8	0
V1'256	180	0.025	1	0
V1'257	180	0.025	2	0
V1'258	180	0.025	4	0
V1'259	180	0.025	8	0
V1'260	180	0.05	1	0
V1'261	180	0.05	2	0.23126
V1'262	180	0.05	4	0
V1'263	180	0.05	8	0
V1'264	180	0.1	1	0
V1'265	180	0.1	2	0.00875933
V1'266	180	0.1	4	0
V1'267	180	0.1	8	0
V1'268	180	0.2	1	0
V1'269	180	0.2	2	0
V1'270	180	0.2	4	0
V1'271	180	0.2	8	0
V1'272	191.25	0.025	1	0
V1'273	191.25	0.025	2	0
V1'274	191.25	0.025	4	0
V1'275	191.25	0.025	8	0
V1'276	191.25	0.05	1	0
V1'277	191.25	0.05	2	0.108502
V1'278	191.25	0.05	4	0
V1'279	191.25	0.05	8	0
V1'280	191.25	0.1	1	0
V1'281	191.25	0.1	2	0.0079018
V1'282	191.25	0.1	4	0
V1'283	191.25	0.1	8	0
V1'284	191.25	0.2	1	0
V1'285	191.25	0.2	2	0
V1'286	191.25	0.2	4	0
V1'287	191.25	0.2	8	0
V1'288	202.5	0.025	1	0
V1'289	202.5	0.025	2	0
V1'290	202.5	0.025	4	0
V1'291	202.5	0.025	8	0
V1'292	202.5	0.05	1	0
V1'293	202.5	0.05	2	0.045956
V1'294	202.5	0.05	4	0
V1'295	202.5	0.05	8	0
V1'296	202.5	0.1	1	0
V1'297	202.5	0.1	2	0.0146917
V1'298	202.5	0.1	4	0
V1'299	202.5	0.1	8	0
V1'300	202.5	0.2	1	0
V1'301	202.5	0.2	2	0
V1'302	202.5	0.2	4	0
V1'303	202.5	0.2	8	0
V1'304	213.75	0.025	1	0
V1'305	213.75	0.025	2	0
V1'306	213.75	0.025	4	0
V1'307	213.75	0.025	8	0
V1'308	213.75	0.05	1	0
V1'309	213.75	0.05	2	0.0186336
V1'310	213.75	0.05	4	0
V1'311	213.75	0.05	8	0
V1'312	213.75	0.1	1	0
V1'313	213.75	0.1	2	0.0329317
V1'314	213.75	0.1	4	0
V1'315	213.75	0.1	8	0
V1'316	213.75	0.2	1	0
V1'317	213.75	0.2	2	0
V1'318	213.75	0.2	4	0
V1'319	213.75	0.2	8	0
V1'320	225	0.025	1	0
V1'321	225	0.025	2	0
V1'322	225	0.025	4	0
V1'323	225	0.025	8	0
V1'324	225	0.05	1	0
V1'325	225	0.05	2	0.00875933
V1'326	225	0.05	4	0
V1'327	225	0.05	8	0
V1'328	225	0.1	1	0
V1'329	225	0.1	2	0.0695568
V1'330	225	0.1	4	0
V1'331	225	0.1	8	0
V1'332	225	0.2	1	0
V1'333	225	0.2	2	0
V1'334	225	0.2	4	0
V1'335	225	0.2	8	0
V1'336	236.25	0.025	1	0
V1'337	236.25	0.025	2	0
V1'338	236.25	0.025	4	0
V1'339	236.25	0.025	8	0
V1'340	236.25	0.05	1	0
V1'341	236.25	0.05	2	0.0079018
V1'342	236.25	0.05	4	0
V1'343	236.25	0.05	8	0
V1'344	236.25	0.1	1	0
V1'345	236.25	0.1	2	0.129276
V1'346	236.25	0.1	4	0
V1'347	236.25	0.1	8	0
V1'348	236.25	0.2	1	0
V1'349	236.25	0.2	2	0
V1'350	236.25	0.2	4	0
V1'351	236.25	0.2	8	0
V1'352	247.5	0.025	1	0
V1'353	247.5	0.025	2	0
V1'354	247.5	0.025	4	0
V1'355	247.5	0.025	8	0
V1'356	247.5	0.05	1	0
V1'357	247.5	0.05	2	0.0146917
V1'358	247.5	0.05	4	0
V1'359	247.5	0.05	8	0
V1'360	247.5	0.1	1	0
V1'361	247.5	0.1	2	0.205101
V1'362	247.5	0.1	4	0
V1'363	247.5	0.1	8	0
V1'364	247.5	0.2	1	0
V1'365	247.5	0.2	2	0
V1'366	247.5	0.2	4	0
V1'367	247.5	0.2	8	0
V1'368	258.75	0.025	1	0
V1'369	258.75	0.025	2	0
V1'370	258.75	0.025	4	0
V1'371	258.75	0.025	8	0
V1'372	258.75	0.05	1	0
V1'373	258.75	0.05	2	0.0329317
V1'374	258.75	0.05	4	0
V1'375	258.75	0.05	8	0
V1'376	258.75	0.1	1	0
V1'377	258.75	0.1	2	0.272569
V1'378	258.75	0.1	4	0
V1'379	258.75	0.1	8	0
V1'380	258.75	0.2	1	0
V1'381	258.75	0.2	2	0
V1'382	258.75	0.2	4	0
V1'383	258.75	0.2	8	0
V1'384	270	0.025	1	0
V1'385	270	0.025	2	0
V1'386	270	0.025	4	0
V1'387	270	0.025	8	0
V1'388	270	0.05	1	0
V1'389	270	0.05	2	0.0695568
V1'390	270	0.05	4	0
V1'391	270	0.05	8	0
V1'392	270	0.1	1	0
V1'393	270	0.1	2	0.300045
V1'394	270	0.1	4	0
V1'395	270	0.1	8	0
V1'396	270	0.2	1	0
V1'397	270	0.2	2	0
V1'398	270	0.2	4	0
V1'399	270	0.2	8	0
V1'400	281.25	0.025	1	0
V1'401	281.25	0.025	2	0
V1'402	281.25	0.025	4	0
V1'403	281.25	0.025	8	0
V1'404	281.25	0.05	1	0
V1'405	281.25	0.05	2	0.129276
V1'406	281.25	0.05	4	0
V1'407	281.25	0.05	8	0
